,Ano,Mês,N de viagens,Media Kms,TOTAL KM,Preço combustivel,L/KM,Total,custo medio combustivel,Desgaste carro,Custo médio Total,Valor total,Pago,Diferença,carro L,Km,custo medio gasolina
0,2024,Julho,4,3.5,14,5.99,0.09523809524,7.986666667,,7,,14.98666667,14.99,0.003333333333,1,10.5,1.996666667
1,2024,Agosto,2,5.5,11,5.99,0.09523809524,6.275238095,,5.5,,11.7752381,10,-1.775238095,,,
2,2024,Setembro,1,20,20,5.99,0.09523809524,11.40952381,,10,,21.40952381,,-21.40952381,,,
3,2024,Outubro,0,0,0,5.99,0.09523809524,0,,0,0,0,,0,,,
4,2024,Novembro,23,5.447826087,125.3,5.99,0.09523809524,71.48066667,,62.65,,134.1306667,,-134.1306667,,,
5,2024,Dezembro,5,7.94,39.7,5.99,0.09523809524,22.64790476,,19.85,,42.49790476,,-42.49790476,,,
6,2025,Janeiro,2,9.5,19,5.99,0.09523809524,10.83904762,,9.5,,20.33904762,,-20.33904762,,,
7,2025,Fevereiro,0,0,0,,0.09523809524,0,,0,,0,,,,,
8,2025,Março,,,,,,,,,,,,,,,
9,2025,Abril,,,,,,,,,,,,,,,
10,2025,,,,,,,,,,,,,,,,
